Nr,Antwort
1,Wien
2,9 Bundesländer
3,Johann Wolfgang von Goethe
4,A = π · r²
5,Central Processing Unit (Prozessor)
6,1914
7,"Prozess, bei dem Pflanzen Sonnenlicht nutzen, um aus Wasser und CO₂ Zucker und Sauerstoff herzustellen."
8,a² + b² = c²
9,JavaScript
10,"Hardware = physische Teile, Software = Programme"
11,"Physiker, bekannt für die Relativitätstheorie"
12,"Europa, Asien, Afrika, Nordamerika, Südamerika, Australien/Ozeanien, Antarktika"
13,Eine Schritt-für-Schritt-Anleitung zur Lösung eines Problems
14,Computer tauschen weltweit Daten über Server und Netzwerke aus
15,H₂O
16,"Legislative, Exekutive, Judikative"
17,"Allgemeiner Anstieg der Preise, Geld verliert an Wert"
18,Durch aufsteigendes Magma aus dem Erdinneren
19,"Gleichstrom fließt in eine Richtung, Wechselstrom ändert regelmäßig die Richtung"
20,"Ressourcen so nutzen, dass zukünftige Generationen nicht benachteiligt werden"
