Nr,Frage
1,Was ist die Hauptstadt von Österreich?
2,Wie viele Bundesländer hat Österreich?
3,Wer schrieb „Faust“?
4,Was ist die Formel für die Fläche eines Kreises?
5,Was bedeutet die Abkürzung CPU?
6,In welchem Jahr begann der Erste Weltkrieg?
7,Was ist Photosynthese?
8,Wie lautet der Satz des Pythagoras?
9,Welche Programmiersprache wird häufig für Webseiten verwendet?
10,Was ist der Unterschied zwischen Hardware und Software?
11,Wer war Albert Einstein?
12,Welche Kontinente gibt es auf der Erde?
13,Was ist ein Algorithmus?
14,Wie funktioniert das Internet grob erklärt?
15,Was ist die chemische Formel von Wasser?
16,Welche drei Staatsgewalten gibt es?
17,Was versteht man unter Inflation?
18,Wie entsteht ein Vulkan?
19,Was ist der Unterschied zwischen Gleichstrom und Wechselstrom?
20,Was bedeutet Nachhaltigkeit?
